"","pac_name_affiliate","country","parent","total","dems","repubs","year"
"1244","XL America","Ireland","XL Group PLC",8300,7300,1000,2012
"1245","Zurich Insurance (Zurich Insurance Group)","Switzerland","Zurich Insurance Group",164500,73500,89000,2012
"1246","7-Eleven","Japan","Seven & I Holdings",0,0,0,2014
"1247","ABB Group","Switzerland","Asea Brown Boveri",12000,4000,7000,2014
"1248","Accenture (Accenture)","Ireland","Accenture plc",435000,195500,238500,2014
"1249","ACE INA","Switzerland","ACE Ltd",213000,91000,120000,2014
"1250","ADT Security Services (Tyco International)","Ireland","Tyco International",20000,10000,10000,2014
"1251","Advance America Cash Advance Centers (Grupo Salinas)","Mexico","Grupo Salinas",78000,3000,75000,2014
"1252","Advanced BioHealing (Shire Plc)","UK","Shire Plc",6500,4000,2500,2014
"1253","Air Liquide America","France","L'Air Liquide SA",43500,18500,25000,2014
"1254","Airbus Group","Netherlands","Airbus Group",201700,41500,159200,2014
"1255","Alcatel-Lucent USA (Alcatel-Lucent)","France","Alcatel-Lucent",3000,0,3000,2014
"1256","Alkermes Inc","Ireland","Alkermes Plc",58600,30900,27700,2014
"1257","Allianz of America (Allianz)","Germany","Allianz AG Holding",85900,22400,62300,2014
"1258","AMG Vanadium","Netherlands","AMG Advanced Metallurgical Group",0,0,0,2014
"1259","Anheuser-Busch","Belgium","Anheuser-Busch InBev",565898,245731,317667,2014
"1260","AON Corp (AON plc)","UK","AON PLC",133500,68000,65500,2014
"1261","APL Ltd","Singapore","Neptune Orient Lines Ltd",32750,20250,12500,2014
"1262","Arcadis US (Arcadis NV)","Netherlands","Arcadis NV",11100,4600,6500,2014
"1263","ArcelorMittal USA","Luxembourg","ArcelorMittal",81500,32000,49500,2014
"1264","Arch Capital Group (US)","UK","Arch Capital Group",5600,5600,0,2014
"1265","AREVA Inc","France","Areva Group",197550,97600,99950,2014
"1266","Arkema Inc","France","Arkema",52000,22000,30000,2014
"1267","Ashta Chemicals","Mexico","Bigshire Mexico",1000,1000,0,2014
"1268","Ashton Woods Homes","Canada","Great Gulf Group",2000,0,2000,2014
"1269","Astellas US","Japan","Astellas Pharma",143600,68100,75500,2014
"1270","AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK","AstraZeneca PLC",626548,275548,347500,2014
"1271","Atkins North America","UK","WS Atkins PLC",2000,1500,500,2014
"1272","Austal USA (Austal Ltd)","Australia","Austal Ltd",6000,0,6000,2014
"1273","Aviva USA","UK","Aviva PLC",0,0,0,2014
"1274","AXA Equitable Life Insurance (AXA)","France","AXA",178000,79500,96500,2014
"1275","Bacardi USA","UK","Bacardi Ltd",12000,4500,7500,2014
"1276","BAE Systems (BAE Systems)","UK","BAE Systems",843499,319999,517500,2014
"1277","BancWest Corp (BNP Paribas)","France","BNP Paribas",19500,2000,17500,2014
"1278","Barclays Group US","UK","Barclays plc",118000,55000,63000,2014
"1279","Barrick Goldstrike Mines","Canada","Barrick Gold Corp",86000,41500,44500,2014
"1280","BASF Corp","Germany","BASF SE",388500,134000,253500,2014
"1281","Bayer Corp","Germany","Bayer AG",307500,87500,217000,2014
"1282","BBVA Compass","Spain","Banco Bilbao Vizcaya Argentaria",329975,69500,260475,2014
"1283","Beam Suntory (Suntory Holdings)","Japan","Suntory Holdings",60349,31500,28849,2014
"1284","BioFire Diagnostics (Institut Merieux)","France","Institut Merieux",2500,2500,0,2014
"1285","BlackBerry","Canada","BlackBerry",9000,3000,6000,2014
"1286","BMO Harris Bank (Bank of Montreal)","Canada","Bank of Montreal",17900,10300,7600,2014
"1287","Boehringer Ingelheim Corp","Germany","CH Boehringer Sohn",210600,112600,98000,2014
"1288","Bombardier Aerospace (Bombardier Inc)","Canada","Bombardier Inc",14000,5500,8500,2014
"1289","Bombardier Transportation USA (Bombardier Inc)","Canada","Bombardier Inc",2000,2000,0,2014
"1290","BP North America","UK","BP PLC",463000,138000,325000,2014
"1291","Bridgestone Americas","Japan","Bridgestone Corp",25500,3000,22500,2014
"1292","Bumble Bee Foods","UK","Lion Capital",22500,7500,15000,2014
"1293","Buzzi Unicem USA","Italy","Buzzi Unicem SpA",3000,0,3000,2014
"1294","CalPortland Co","Japan","Taiheiyo Cement Co",52500,6500,46000,2014
"1295","Carmeuse Lime","Netherlands","LVI Holding",9500,3000,6500,2014
"1296","Case New Holland","Netherlands","CNH Industrial",70000,5000,65000,2014
"1297","CEMEX Inc","Mexico","CEMEX SAB de CV",269450,66350,203100,2014
"1298","CGI Technologies & Solutions","Canada","CGI Group",34000,12000,22000,2014
"1299","Chicago Bridge & Iron","Netherlands","Chicago Bridge & Iron NV",161000,57500,103500,2014
"1300","Citizens Financial Group","UK","Royal Bank of Scotland Group",109000,55000,54000,2014
"1301","Cobham Management Services","UK","Cobham PLC",152000,72500,79500,2014
"1302","Commonwealth-Altadis","UK","Imperial Tobacco Group",65000,4000,61000,2014
"1303","Continental Automotive Systems (Continental AG)","Germany","Continental AG",9500,6000,3500,2014
"1304","Cooper Industries (Eaton Corp)","Ireland","Eaton Plc",0,0,0,2014
"1305","Covidien US","UK","Covidien Ltd",192500,60500,131500,2014
"1306","Credit Suisse Securities","Switzerland","Credit Suisse Group",419250,206000,213250,2014
"1307","CSL Behring","Australia","CSL Ltd",49600,12000,37600,2014
"1308","Daiichi Sankyo Inc","Japan","Daiichi Sanyko",207500,65500,140000,2014
"1309","Delphi Automotive","UK","Delphi Automotive",20000,10000,9000,2014
"1310","Deutsche Bank Securities","Germany","Deutsche Bank AG",68500,6500,62000,2014
"1311","DHL (Deutsche Post AG)","Germany","Deutsche Post AG",0,0,0,2014
"1312","Diageo North America (Diageo PLC)","UK","Diageo PLC",113784,57477,56307,2014
"1313","Direct Energy Inc","UK","Centrica Plc",0,0,0,2014
"1314","DRS Technologies","Italy","Finmeccanica SpA",326700,125600,201100,2014
"1315","E2v Aerospace & Defense","UK","E2v Technologies PLC",500,500,0,2014
"1316","Eaton Corp (Eaton Corp)","Ireland","Eaton Plc",51900,8500,43400,2014
"1317","EDF Renewable Energy","France","EDF Group",24250,16750,7500,2014
"1318","EDP Renewables NA","Portugal","EDP - Energias de Portugal",11300,7800,3500,2014
"1319","Eisai Inc","Japan","Eisai Co Ltd",64160,24160,40000,2014
"1320","Elbit Systems of America","Israel","Elbit Systems Ltd",49000,12500,36500,2014
"1321","Elekta Inc (Elekta AB)","Sweden","Elekta AB",0,0,0,2014
"1322","Embraer Aircraft Holdings","Brazil","Embraer-Empresa Brasileira de Aeronautic",20500,3000,17500,2014
"1323","EMD Serono Inc","Germany","Merck KGaA",101500,60000,41500,2014
"1324","Empower Retirement (Power Financial Corp)","Canada","Power Financial Corp",0,0,0,2014
"1325","EnCana Oil & Gas USA","Canada","EnCana Corp",24500,4000,20500,2014
"1326","Endo Pharmaceuticals","Ireland","Endo International",133500,33500,1e+05,2014
"1327","Ericsson Inc","Sweden","Telefonaktiebolaget LM Ericsson",3500,0,3500,2014
"1328","Essroc Corp","Italy","Italcementi Group",1500,1500,0,2014
"1329","Experian","UK","Experian",445100,165100,279000,2014
"1330","Farmers Group (Zurich Insurance Group)","Switzerland","Zurich Financial Services AG",303700,84500,219200,2014
"1331","First Hawaiian Bank (BNP Paribas)","France","BNP Paribas",11250,10750,500,2014
"1332","Food Lion","Belgium","Delhaize Group",10200,5200,5000,2014
"1333","Foster Wheeler","Switzerland","Foster Wheeler PLC",0,0,0,2014
"1334","Fresenius Medical Care North America","Germany","Fresenius Medical Care",198000,91000,107000,2014
"1335","G4S Secure Solutions","UK","G4S plc",17500,5000,12500,2014
"1336","Gavilon (Marubeni Corp)","Japan","Marubeni Corp",12000,4000,8000,2014
"1337","GDF Suez Energy North America","France","GDF SUEZ",46000,18000,28000,2014
"1338","Genentech Inc (Roche Holdings)","Switzerland","Roche Holdings",306500,180500,123500,2014
"1339","General Cigar Co","Sweden","Scandinavian Tobacco Group",12000,6500,5500,2014
"1340","Genzyme Corp (Sanofi)","France","Sanofi",7000,6000,1000,2014
"1341","Gerdau Ameristeel Corp","Brazil","Gerdau Inc",0,0,0,2014
"1342","GKN Corp","UK","GKN PLC",6000,3000,3000,2014
"1343","Glanbia Foods (Glanbia PLC)","Ireland","Glanbia PLC",4500,0,4500,2014
"1344","Glanbia Performance Nutrition (Glanbia PLC)","Ireland","Glanbia plc",0,0,0,2014
"1345","GlaxoSmithKline","UK","GlaxoSmithKline",440000,174500,263500,2014
"1346","Glover Park Group (WPP Group)","UK","WPP Group",139800,91300,48500,2014
"1347","Grand Trunk Western-Illinois Central RR","Canada","Canadian National Railway",59250,21250,38000,2014
"1348","Great-West Life & Annuity Insurance (Power Financial Corp)","Canada","Power Financial Corp",36500,19000,17500,2014
"1349","Greyhound Lines","UK","FirstGroup PLC",16500,6500,10000,2014
"1350","Grifols Inc (Grifols SA)","Spain","Grifols SA",83000,48000,33000,2014
"1351","Gtech Corp","Italy","B&D Holding Di Marco Drago e C Sapa",21200,17600,3600,2014
"1352","Heineken USA","Netherlands","L'Arche Green NV",27840,18340,9500,2014
"1353","Henkel Corp (Henkel KGaA)","Germany","Henkel KGaA",6000,4000,2000,2014
"1354","Herbalife International","UK","Herbalife Ltd",146700,88100,58600,2014
"1355","Hoffmann-La Roche (Roche Holdings)","Switzerland","Roche Holdings",-2000,-4000,2000,2014
"1356","Holcim US","Switzerland","Holcim Ltd",76100,22000,54100,2014
"1357","HSBC North America","UK","HSBC Holdings",176000,83500,92500,2014
"1358","Iberdrola Renewables (Iberdrola SA)","Spain","Iberdrola SA",18500,15000,3500,2014
"1359","Iberdrola USA (Iberdrola SA)","Spain","Iberdrola SA",102500,73000,29500,2014
"1360","ICAP North America","UK","ICAP plc",0,0,0,2014
"1361","Infineon Technologies","Germany","Infineon Technologies AG",250,250,0,2014
"1362","Ingersoll-Rand","Ireland","Ingersoll Rand Co",44500,15500,29000,2014
"1363","Intelsat Holdings (Serafina SA)","Luxembourg","Serafina SA",45000,22500,20000,2014
"1364","Intergraph Corp","Sweden","Hexagon AB",2000,0,2000,2014
"1365","International Securities Exchange","Germany","Deutsche Boerse",68000,41500,26500,2014
"1366","Jackson National Life Insurance","UK","Prudential PLC",159460,41000,115960,2014
"1367","JBS USA","Brazil","JBS SA",142500,14000,128500,2014
"1368","Jeld-Wen Inc (Onex Corp)","Canada","Onex Corp",9600,2000,7600,2014
"1369","John Hancock Life Insurance","Canada","Manulife Financial",109000,52500,56500,2014
"1370","Kawasaki Heavy Industries","Japan","Kawasaki Heavy Industries",0,0,0,2014
"1371","Keystone Foods","Brazil","Marfrig Global Foods",2000,0,2000,2014
"1372","LaFarge North America","France","Lafarge SA",40500,17000,23500,2014
"1373","Learjet Inc (Bombardier Inc)","Canada","Bombardier Inc",5500,1500,4000,2014
"1374","Lehigh Hanson","Germany","HeidelbergCement AG",58500,7500,51000,2014
"1375","Linde North America","Germany","Linde AG",102350,33500,68850,2014
"1376","Louis Dreyfus Commodities","Netherlands","Louis Dreyfus Group",45700,2000,43700,2014
"1377","Lundbeck Inc","Denmark","H Lundbeck A/S",14500,8500,6000,2014
"1378","LyondellBasell Industries","Netherlands","LyondellBasell Industries",112500,24000,87500,2014
"1379","M-E Companies","Canada","IBI Group",500,0,500,2014
"1380","Maersk Inc (AP Moller-Maersk)","Denmark","AP Moller-Maersk",109100,42600,66500,2014
"1381","Magna US","Canada","Magna International",1000,1000,0,2014
"1382","Mallinckrodt Pharmaceuticals","UK","Mallinckrodt Plc",0,0,0,2014
"1383","Marinette Marine","Italy","Fincantieri-Cantieri Navali Italiani SpA",22250,3750,18500,2014
"1384","Massachusetts Financial Services (Sun Life Financial)","Canada","Sun Life Financial Services",25500,9500,15000,2014
"1385","MBDA Inc","UK","MBDA",16400,0,16400,2014
"1386","McDermott International (McDermott International)","Panama","McDermott International",26600,2000,24600,2014
"1387","Medimmune Inc (AstraZeneca PLC)","UK","AstraZeneca PLC",6000,3500,2500,2014
"1388","Millennium Pharmaceuticals (Takeda Pharmaceutical Co)","Japan","Takeda Pharmaceutical Co",8200,3700,4500,2014
"1389","MillerCoors LLC","UK","SABMiller PLC",190500,48000,142500,2014
"1390","Miraca Life Sciences","Japan","Miraca Holdings",29500,13500,16000,2014
"1391","Mitsubishi Hitachi Power Systems","Japan","Mitsubishi Hitachi Power Systems",1000,0,1000,2014
"1392","Morpho Detection (Safran Identity & Security)","France","Safran Identity & Security",7000,3000,4000,2014
"1393","MorphoTrust USA (Safran Identity & Security)","France","Safran Identity & Security",20000,12000,8000,2014
"1394","Motorola Mobility (Lenovo Group)","China","Lenovo Group",4500,3500,1000,2014
"1395","MUFG Americas","Japan","Mitsubishi UFJ Financial Group",6500,2500,4000,2014
"1396","Munich American Reassurance","Germany","Munich Re Group",0,0,0,2014
"1397","Nammo Talley Inc","Norway","Nammo AS",12250,3250,9000,2014
"1398","National Cement Co","France","Vicat Group",3000,0,3000,2014
"1399","National Grid USA (National Grid plc)","UK","National Grid plc",99850,70350,28500,2014
"1400","National Grid USA (National Grid plc)","UK","National Grid plc",0,0,0,2014
"1401","Natixis Global Asset Management","France","Groupe BPCE",11100,5000,6100,2014
"1402","Nestle Purina PetCare (Nestle SA)","Switzerland","Nestle SA",38000,8000,30000,2014
"1403","Nestle Waters North America (Nestle SA)","Switzerland","Nestle",17500,8000,9500,2014
"1404","Nomura Holding America","Japan","Nomura Holdings",88000,46500,41500,2014
"1405","Novartis Corp (Novartis AG)","Switzerland","Novartis AG",326250,171000,153250,2014
"1406","Novo Nordisk","Denmark","Novo Nordisk A/S",407938,196090,211848,2014
"1407","Novocure Inc","UK","Novocure",28600,10400,18200,2014
"1408","Oldcastle Materials","Ireland","CRH PLC",326500,136500,189500,2014
"1409","Otsuka America (Otsuka Pharmaceutical)","Japan","Otsuka Pharmaceutical",0,0,0,2014
"1410","Parsons Brinckerhoff","UK","Balfour Beatty",143200,96450,46750,2014
"1411","Pernod Ricard USA","France","Pernod Ricard SA",17775,9000,8775,2014
"1412","Peter Pan Seafoods","Japan","Maruha Nichiro Holdings",5750,3250,2500,2014
"1413","Pharmavite LLC (Otsuka Pharmaceutical)","Japan","Otsuka Pharmaceutical",57500,25000,32500,2014
"1414","Philips Electronics North America (Philips Electronics)","Netherlands","Philips Electronics",91300,34550,56750,2014
"1415","Philips Medical Systems (Philips Electronics)","Netherlands","Philips Electronics",0,0,0,2014
"1416","PotashCorp","Canada","Potash Corporation of Saskatchewan",19500,2000,17500,2014
"1417","Prime Policy Group (WPP Group)","UK","WPP Group",52500,20750,31750,2014
"1418","Putnam Investments (Power Financial Corp)","Canada","Power Financial Corp",30823,4600,26223,2014
"1419","RBC Bank (Royal Bank of Canada)","Canada","Royal Bank of Canada",21200,9000,12200,2014
"1420","Reed Elsevier Inc","UK","Reed Elsevier Group",68100,32000,36100,2014
"1421","Renewable Energy Systems Americas","UK","Renewable Energy Systems",31500,23500,8000,2014
"1422","Res-Care Inc (Onex Corp)","Canada","Onex Corp",14000,1500,12500,2014
"1423","Resolute FP US","Canada","Resolute Forest Products",48000,7500,40500,2014
"1424","Rio Tinto America","UK","Rio Tinto Group",18500,6000,11500,2014
"1425","Rolls-Royce North America (Rolls-Royce PLC)","UK","Rolls-Royce PLC",238000,67000,171000,2014
"1426","Royal Ten Cate USA","Netherlands","Koninklijke Ten Cate",21500,7500,14000,2014
"1427","Safelite Group","Belgium","D'Ieteren SA",1000,0,1000,2014
"1428","Sanofi US (Sanofi)","France","Sanofi",442775,168000,272775,2014
"1429","Sanofi-Pasteur Inc (Sanofi)","France","Sanofi",110500,22000,88500,2014
"1430","Santander Bank (Banco Santander)","Spain","Banco Santander",0,0,0,2014
"1431","SAP America","Germany","SAP AG",117600,76100,41500,2014
"1432","Securitas Security Services USA","Sweden","Securitas AB",10800,1300,9500,2014
"1433","Serco Inc","UK","Serco Group",138600,43100,89500,2014
"1434","Shell Oil","Netherlands","Royal Dutch Shell",97100,23100,74000,2014
"1435","Shire Pharmaceuticals (Shire Plc)","UK","Shire Plc",0,0,0,2014
"1436","Siemens Corp","Germany","Siemens AG",291900,130400,159500,2014
"1437","Skilled Healthcare Group (Onex Corp)","Canada","Onex Corp",33100,9000,24100,2014
"1438","Smith & Nephew","UK","Smith & Nephew Plc",53500,16000,37500,2014
"1439","Smithfield Foods","China","WH Group",100700,33000,67700,2014
"1440","Smiths Group Services Corp","UK","Smiths Group PLC",107500,33500,74000,2014
"1441","Sodexo Inc","France","Sodexo",9000,8000,1000,2014
"1442","Solvay America","Belgium","Solvay SA",21500,10500,11000,2014
"1443","SonoSite Inc","Japan","FujiFilm",0,0,0,2014
"1444","Sony Pictures Entertainment (Sony Corp)","Japan","Sony Corp",232498,144498,87000,2014
"1445","Space Systems/Loral","Canada","MacDonald, Dettwiler & Assoc",10000,6000,4000,2014
"1446","Sprint Communications (SoftBank Corp)","Japan","Softbank Corp",306000,133500,169500,2014
"1447","SSAB Americas","Sweden","SSAB AB",15000,5000,10000,2014
"1448","StandardAero","United Arab Emirates","Dubai Aerospace Enterprise",27000,13500,13500,2014
"1449","Sunovion Pharmaceuticals","Japan","Sumitomo Chemical",20000,9000,11000,2014
"1450","Sunpower Corp","France","Total SA",11100,9100,2000,2014
"1451","Swedish Match North America (Swedish Match AB)","Sweden","Swedish Match AB",40600,6000,34600,2014
"1452","Swiss Re America","Switzerland","Swiss Reinsurance",15500,4500,11000,2014
"1453","Syngenta Corp","Switzerland","Syngenta AG",85750,16250,69500,2014
"1454","T-Mobile USA","Germany","Deutsche Telekom AG",368500,213500,152000,2014
"1455","Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co)","Japan","Takeda Pharmaceutical Co",104000,53000,51000,2014
"1456","Tate & Lyle Americas (Tate & Lyle)","UK","Tate & Lyle",21600,2000,19600,2014
"1457","TD Bank USA","Canada","Toronto-Dominion Bank",95250,44750,50500,2014
"1458","TE Connectivity","Switzerland","TE Connectivity",111000,25000,86000,2014
"1459","Terumo BCT","Japan","Terumo Corp",0,0,0,2014
"1460","Teva Pharmaceuticals USA","Israel","Teva Pharmaceutical Industries",163500,48500,115000,2014
"1461","Toyota Motor North America","Japan","Toyota Motor Corp",284000,124000,160000,2014
"1462","TracFone Wireless","Mexico","America Movil",2000,0,2000,2014
"1463","TransAmerica","Netherlands","Aegon NV",288000,117000,171000,2014
"1464","Transcanada USA Services","Canada","TransCanada Corp",15500,2500,13000,2014
"1465","Travelport Inc","UK","Travelport Ltd",3000,0,3000,2014
"1466","Tronox Inc","Australia","Tronox Ltd",0,0,0,2014
"1467","Tyco International (Tyco International)","Ireland","Tyco International",364750,130000,234750,2014
"1468","UBS Americas","Switzerland","UBS AG",1481250,670000,808750,2014
"1469","UCB Inc (UCB SA)","Belgium","UCB SA",0,0,0,2014
"1470","Ultra Electronics USA","UK","Ultra Electronics",0,0,0,2014
"1471","United Illuminating (Iberdrola SA)","Spain","Iberdrola SA",0,0,0,2014
"1472","United Water","France","SUEZ Environnement",24100,23600,500,2014
"1473","Universal Music Group (Vivendi Universal)","France","Vivendi Universal",89750,45250,44500,2014
"1474","VT Halter Marine","Singapore","ST Engineering",13250,750,12000,2014
"1475","Weatherford US","UK","Weatherford International",1000,0,1000,2014
"1476","Westfield Corp","Australia","Westfield Group of Australia",20155,19655,500,2014
"1477","Westinghouse Electric","Japan","Toshiba Corp",114000,26500,87500,2014
"1478","Wexler & Walker Public Policy Assoc (WPP Group)","UK","WPP Group",64000,30000,34000,2014
"1479","Willis North America","UK","Willis Group Holdings",5500,1000,4500,2014
"1480","XL America","Ireland","XL Group PLC",0,0,0,2014
"1481","Zurich Insurance (Zurich Insurance Group)","Switzerland","Zurich Insurance Group",188500,1e+05,88500,2014
"1482","7-Eleven","Japan","Seven & I Holdings",0,0,0,2016
"1483","ABB Group (ABB Group)","Switzerland","Asea Brown Boveri",9500,7000,2500,2016
"1484","ABB Group (ABB Group)","Switzerland","Asea Brown Boveri",11000,1000,10000,2016
"1485","Accenture (Accenture)","Ireland","Accenture plc",326000,124500,201500,2016
"1486","Advance America Cash Advance Centers (Grupo Salinas)","Mexico","Grupo Salinas",82050,33000,49050,2016
"1487","Air Liquide America","France","L'Air Liquide SA",35000,9500,24000,2016
"1488","Airbus Group","Netherlands","Airbus Group",167450,31500,135950,2016
"1489","Alkermes Inc","Ireland","Alkermes Plc",121700,25200,96500,2016
"1490","Allergan Inc (Allergan PLC)","Ireland","Allergan PLC",152000,29000,123000,2016
"1491","Allergan Inc (Allergan PLC)","Ireland","Allergan PLC",37596,2000,35596,2016
"1492","Allianz of America (Allianz)","Germany","Allianz AG Holding",86600,21850,64750,2016
"1493","Altice USA","Netherlands","Altice NV",62900,48900,14000,2016
"1494","AMG Vanadium","Netherlands","AMG Advanced Metallurgical Group",500,0,500,2016
"1495","Anheuser-Busch (Anheuser-Busch InBev)","Belgium","Anheuser-Busch InBev",575574,224500,351074,2016
"1496","AON Corp (AON plc)","UK","AON PLC",127200,39500,87700,2016
"1497","APL Ltd (CMA CGM)","France","CMA CGM SA",47000,23500,23500,2016
"1498","Arcadis US (Arcadis NV)","Netherlands","Arcadis NV",8500,1000,7500,2016
"1499","ArcelorMittal USA","Luxembourg","ArcelorMittal",72500,29000,43500,2016
"1500","Arch Capital Group (US)","UK","Arch Capital Group",5500,3000,2500,2016
"1501","AREVA Inc (AREVA Group)","France","Areva Group",104250,26750,77500,2016
"1502","AREVA Inc/New Mexico (AREVA Group)","France","Areva Group",0,0,0,2016
"1503","Arkema Inc","France","Arkema",65750,24750,41000,2016
"1504","Ashta Chemicals","Mexico","Bigshire Mexico",2700,0,2700,2016
"1505","Ashton Woods Homes","Canada","Great Gulf Group",9500,2000,7500,2016
"1506","Astellas US","Japan","Astellas Pharma",244000,98500,145500,2016
"1507","AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK","AstraZeneca PLC",527500,239000,288500,2016
"1508","Atkins North America","UK","WS Atkins PLC",500,0,500,2016
"1509","Austal USA (Austal Ltd)","Australia","Austal Ltd",27000,1000,26000,2016
"1510","Avangrid Inc (Iberdrola SA)","Spain","Iberdrola SA",106700,67700,36500,2016
"1511","AXA Equitable Life Insurance (AXA)","France","AXA",194000,64500,129500,2016
"1512","Bacardi USA","UK","Bacardi Ltd",42960,12000,30960,2016
"1513","BAE Systems (BAE Systems)","UK","BAE Systems",615500,237000,377500,2016
"1514","BancWest Corp (BNP Paribas)","France","BNP Paribas",17500,2500,15000,2016
"1515","Barclays Group US","UK","Barclays plc",87000,37000,47500,2016
"1516","Barrick Goldstrike Mines","Canada","Barrick Gold Corp",85500,34500,51000,2016
"1517","BASF Corp","Germany","BASF SE",678236,217750,460486,2016
"1518","Baxalta (Shire PLC)","Ireland","Shire Plc",17500,12000,5500,2016
"1519","Bayer Corp (Bayer AG)","Germany","Bayer AG",480000,105000,375000,2016
"1520","BBVA Compass","Spain","Banco Bilbao Vizcaya Argentaria",251625,48000,203625,2016
"1521","Beam Suntory (Suntory Holdings)","Japan","Suntory Holdings",35632,11000,24632,2016
"1522","BMO Financial Corp (Bank of Montreal)","Canada","Bank of Montreal",0,0,0,2016
"1523","BMO Harris Bank (Bank of Montreal)","Canada","Bank of Montreal",56200,29200,27000,2016
"1524","Boehringer Ingelheim Corp","Germany","CH Boehringer Sohn",213000,116000,97000,2016
"1525","Bombardier Transportation USA (Bombardier Inc)","Canada","Bombardier Inc",43500,11000,32500,2016
"1526","BP North America","UK","BP PLC",414500,152500,262000,2016
"1527","Bridgestone Americas","Japan","Bridgestone Corp",34500,10000,24500,2016
"1528","Bumble Bee Foods","UK","Lion Capital",17000,6000,11000,2016
"1529","Buzzi Unicem USA","Italy","Buzzi Unicem SpA",2000,0,2000,2016
"1530","CalPortland Co","Japan","Taiheiyo Cement Co",76500,9000,67500,2016
"1531","Carmeuse Lime","Netherlands","Carmeuse SA",3000,0,3000,2016
"1532","Case New Holland","Netherlands","CNH Industrial",102000,7500,94500,2016
"1533","CEMEX Inc","Mexico","CEMEX SAB de CV",326500,62500,264000,2016
"1534","CGI Technologies & Solutions","Canada","CGI Group",69000,23000,46000,2016
"1535","Chicago Bridge & Iron","Netherlands","Chicago Bridge & Iron NV",153500,38000,115500,2016
"1536","Chubb Group of Insurance Companies (Chubb INA)","Switzerland","Chubb Ltd",183000,71500,111500,2016
"1537","Chubb INA (Chubb INA)","Switzerland","Chubb Ltd",164600,53000,111600,2016
"1538","Cobham Management Services","UK","Cobham PLC",197750,60750,137000,2016
"1539","Columbia Pipeline Group (TransCanada Corp)","Canada","TransCanada Corp",186000,37000,149000,2016
"1540","Commonwealth-Altadis (Imperial Brands)","UK","Imperial Tobacco Group",33000,2500,30500,2016
"1541","Continental Automotive Systems (Continental AG)","Germany","Continental AG",109000,41500,67500,2016
"1542","Covestro LLC (Bayer AG)","Germany","Bayer AG",2000,0,2000,2016
"1543","Covidien US (Medtronic Inc)","Ireland","Medtronic Plc",1000,0,1000,2016
"1544","Credit Suisse Securities","Switzerland","Credit Suisse Group",382950,165200,217750,2016
"1545","CSL Behring","Australia","CSL Ltd",73450,18250,55200,2016
"1546","Cytec Engineered Materials (Solvay SA)","Belgium","Solvay SA",4700,0,4700,2016
"1547","Daiichi Sankyo Inc","Japan","Daiichi Sanyko",121000,33500,87500,2016
"1548","Daimler Trucks North America (Daimler AG)","Germany","Daimler AG",0,0,0,2016
"1549","Delhaize America","Belgium","Ahold Delhaize",14500,5000,9500,2016
"1550","Delphi Automotive","UK","Delphi Automotive",10500,2000,8500,2016
"1551","Deutsche Bank Securities","Germany","Deutsche Bank AG",46700,5200,41500,2016
"1552","DHL (Deutsche Post AG)","Germany","Deutsche Post AG",3000,0,3000,2016
"1553","Diageo North America (Diageo PLC)","UK","Diageo PLC",97527,40174,57353,2016
"1554","Direct Energy Inc","UK","Centrica Plc",3000,1000,2000,2016
"1555","Eaton Corp (Eaton Corp)","Ireland","Eaton Plc",69950,10500,59450,2016
"1556","EDF Renewable Energy","France","EDF Group",26750,15750,11000,2016
"1557","EDP Renewables NA","Portugal","EDP - Energias de Portugal",10500,5000,4500,2016
"1558","Eisai Inc","Japan","Eisai Co Ltd",56000,29500,26500,2016
"1559","Elbit Systems of America","Israel","Elbit Systems Ltd",59250,7000,52250,2016
"1560","Elekta Inc (Elekta AB)","Sweden","Elekta AB",49500,11500,38000,2016
"1561","Embraer Aircraft Holdings","Brazil","Embraer-Empresa Brasileira de Aeronautic",32700,4000,28700,2016
"1562","EMD Serono Inc","Germany","Merck KGaA",94000,49000,45000,2016
"1563","Empower Retirement (Power Financial Corp)","Canada","Power Financial Corp",20200,4000,16200,2016
"1564","EnCana Oil & Gas USA","Canada","EnCana Corp",4000,1500,2500,2016
"1565","Endo Pharmaceuticals","Ireland","Endo International",106500,24000,82500,2016
"1566","ENGIE North America","France","ENGIE",89000,27500,59000,2016
"1567","Ericsson Inc","Sweden","Telefonaktiebolaget LM Ericsson",12500,3000,9500,2016
"1568","Essent US Holdings","UK","Essent Group",0,0,0,2016
"1569","Essroc Corp","Italy","Italcementi Group",500,500,0,2016
"1570","Experian","UK","Experian",573500,187000,386500,2016
"1571","Farmers Group (Zurich Insurance Group)","Switzerland","Zurich Financial Services AG",400222,106122,294100,2016
"1572","Fincantieri Marinette Marine","Italy","Fincantieri-Cantieri Navali Italiani SpA",24500,5500,19000,2016
"1573","First Hawaiian Bank (BNP Paribas)","France","BNP Paribas",13600,13600,0,2016
"1574","Fresenius Medical Care North America","Germany","Fresenius Medical Care",178500,83000,95500,2016
"1575","G4S Secure Solutions","UK","G4S plc",17700,7700,10000,2016
"1576","Gavilon (Marubeni Corp)","Japan","Marubeni Corp",28000,3500,24500,2016
"1577","GE Appliances","China","Haier Group",0,0,0,2016
